ITERATION_DATA
~~~~~~~~~~~~~~~~~~~~~~~START-SORTING~~~~~~~~~~~~~~~~~~~~~~~~~~~~
OsorteradIBlock
---------START-STRUCTURE---------
ArrayList
"timeAddAll"	"timeSort"	"timeContains"	"timeGet"	"timeRemove"	"timeSize"
476594000	4075302416	26911250	318292	39733605916	391000
493460541	4090511666	27149458	355084	39049969000	187834
483092166	4233803333	27401000	336750	39056799292	203333
493770042	4281904917	27172750	317791	40842123208	192333
539294167	4384726875	28941250	304916	42009035750	192792
533936167	4265032625	27047417	323792	41292737084	242458
467483375	4176924250	28196417	394084	39107634542	207167
284166416	4101154125	26892042	317833	39082396000	190292
475066333	4082262458	29731708	362916	39003838958	185584
582538000	4146329625	27289167	320041	39526654833	210458
467844750	4227694584	27101375	314334	40518427959	233542
552109875	4279445583	28101625	375666	41442633792	203666
477115458	4236679667	27294292	327042	40699711833	228416
540070708	4358120750	27817375	310250	40981737125	203500
546758791	4308995125	27897875	330000	41148453208	191458
597838583	4649221667	30156667	341750	42534306417	203916
589191708	4544687042	29976666	319708	43374463542	200042
541444833	4385059750	28560959	327209	41931808917	197542
623125250	4709982625	29507292	337958	43797264333	213416
637808459	4856505416	31079458	333084	44671707083	209542
639760583	4703505958	29606375	327917	44624486916	211958
577167250	4956730042	31161042	345625	45274705875	210041
589550375	4891235416	31244458	343667	45079570041	210583
627799667	5041048000	31080000	356666	45091483958	213833
608073666	4769391791	30718583	344958	46012738750	207209
616629041	4769035959	31209916	385417	45722092708	248625
608575000	4824414625	30867542	344584	45441448084	214208
597834375	4855362458	32699625	370167	45857439041	209250
607785042	5138377166	32713125	361000	45787330834	217584
634848042	4909979916	30906958	435792	45756748000	210000
648096416	4923750625	31513125	345459	45674165125	219750
474402667	5013986875	29872083	390917	39712969542	208209
282624042	4079967584	27280209	323958	41005932041	189208
471585000	4117478084	28311334	332417	39249614875	196750
600043209	4397289959	27804542	304833	42161055875	190375
523824833	4186228250	27816250	327209	39307037750	186458
519475625	4521578541	27876125	306917	41207919916	208792
481929375	4115114375	27211875	336958	39397135125	213125
524775125	4323451917	27945917	322208	42043245958	197083
479065458	4328707250	27917625	324917	39198044292	189292
548049625	4375645167	28009083	313500	41532467208	187458
532025625	4435725334	29860166	324833	42444691417	202166
573274750	4554444250	29639375	328875	43464834125	199083
606555500	4789644541	30911084	353458	44672187875	216125
612569334	4933050250	31001166	356083	45088150667	219708
379025750	4793755500	31242083	344875	45256017500	212458
619377541	4813678125	30945500	364625	45289832541	205875
473302958	4293905875	27792333	344667	39372120750	192417
481694708	4248598250	27480500	320000	39053700166	183500
294620958	4252291125	27332375	589541	39154766917	203959
512455792	4116178916	27768459	365500	39261033042	207125
486109875	4144681208	27379000	328541	39551735625	182958
577189834	5042309458	48192500	501792	53004875500	253750
683563833	6941887500	35458000	599709	50700846625	306417
449179875	6468914625	38682709	502958	55241219000	234875
789466625	6118398292	34067833	435292	52289648416	222958
598020292	5102976209	32129375	743959	46263405833	210500
731172875	6023000583	42303625	750958	57807145917	234916
746241834	5608500833	36526459	485250	51215710500	277708
